Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Source,Наличные_USD_Покупка,Наличные_USD_Продажа,Безналичные_USD_Покупка,Безналичные_USD_Продажа,Наличные_KZT_Покупка,Наличные_KZT_Продажа,Безналичные_KZT_Покупка,Безналичные_KZT_Продажа,Наличные_EUR_Покупка,Наличные_EUR_Продажа,Безналичные_EUR_Покупка,Безналичные_EUR_Продажа,Наличные_RUB_Покупка,Наличные_RUB_Продажа,Безналичные_RUB_Покупка,Безналичные_RUB_Продажа
2024-02-09,10.00,61 081.50,61 204.00,NBKR,,,,,,,,,,,,,,,,
2024-02-09,31.1035,187 105.50,189 912.00,NBKR,,,,,,,,,,,,,,,,
2024-02-09,100.00,591 268.50,609 007.00,NBKR,,,,,,,,,,,,,,,,
2024-02-12,1.00,7 212.00,7 248.00,NBKR,,,,,,,,,,,,,,,,
2024-02-12,2.00,13 147.00,13 200.00,NBKR,,,,,,,,,,,,,,,,
2024-02-12,5.00,30 921.50,31 014.00,NBKR,,,,,,,,,,,,,,,,
2024-02-12,10.00,60 933.50,61 055.00,NBKR,,,,,,,,,,,,,,,,
2024-02-12,31.1035,186 645.00,189 444.50,NBKR,,,,,,,,,,,,,,,,
2024-02-12,100.00,589 788.00,607 481.50,NBKR,,,,,,,,,,,,,,,,
2024-02-13,100.00,587 401.50,605 023.50,NBKR,,,,,,,,,,,,,,,,
2024-02-13,10.00,60 694.50,60 815.50,NBKR,,,,,,,,,,,,,,,,
2024-02-13,31.1035,185 902.50,188 691.00,NBKR,,,,,,,,,,,,,,,,
2024-02-13,2.00,13 099.50,13 152.00,NBKR,,,,,,,,,,,,,,,,
2024-02-13,5.00,30 802.00,30 894.50,NBKR,,,,,,,,,,,,,,,,
2024-02-13,1.00,7 188.50,7 224.00,NBKR,,,,,,,,,,,,,,,,
2024-02-14,1.00,7 133.50,7 169.50,NBKR,,,,,,,,,,,,,,,,
